transaction_id,customer_id,timestamp,amount,merchant,category,location_lat,location_lon,card_present,is_fraud,fraud_score,status
TX-100065,CUST-10362,2026-05-21T06:57:47.658683,21.56,Target,Retail,37.84723,-122.39889,0,0,0.0431,Approved
TX-100066,CUST-10782,2026-04-16T20:48:11.658683,110.93,StateFarm,Utilities,37.84955,-122.54279,0,0,0.0233,Approved
TX-100067,CUST-10817,2026-04-09T23:25:42.658683,222.55,StateFarm,Utilities,37.89477,-122.49322,0,0,0.0971,Approved
TX-100068,CUST-10054,2026-05-23T00:11:36.658683,3.94,Steam,Entertainment,37.72929,-122.42124,1,0,0.053,Approved
TX-100069,CUST-10747,2026-04-20T03:05:09.658683,110.35,Walmart,Retail,37.8372,-122.48127,1,0,0.1529,Approved
TX-100070,CUST-10951,2026-04-28T04:28:05.658683,574.51,Delta Air Lines,Travel,37.74982,-122.56118,0,0,0.4887,Approved
TX-100071,CUST-10417,2026-04-09T10:05:29.658683,7.54,BestBuy,Retail,37.86545,-122.56958,1,0,0.043,Approved
TX-100072,CUST-10258,2026-04-21T06:21:47.658683,416.5,Uber,Travel,37.64274,-122.4321,0,0,0.034,Approved
TX-100073,CUST-10769,2026-03-28T22:52:41.658683,44.25,Target,Retail,37.82118,-122.50367,1,0,0.0095,Approved
TX-100074,CUST-10001,2026-03-28T04:39:03.658683,860.84,Chase Transfer,Financial,37.86918,-122.34559,0,1,0.7,Flagged
TX-100075,CUST-10193,2026-04-13T14:56:05.658683,11.19,Dominos,Food,37.7092,-122.31743,0,0,0.0374,Approved
TX-100076,CUST-10181,2026-05-15T05:30:09.658683,57.75,PG&E,Utilities,37.66976,-122.5593,0,0,0.0538,Approved
TX-100077,CUST-10981,2026-06-13T08:15:52.658683,3.92,Netflix,Entertainment,37.78511,-122.55513,1,0,0.0683,Approved
TX-100078,CUST-10604,2026-05-14T06:57:07.658683,23.19,Starbucks,Food,37.84278,-122.53708,1,0,0.0658,Approved
TX-100079,CUST-10851,2026-04-07T06:31:47.658683,5.08,BestBuy,Retail,37.90675,-122.30703,1,0,0.096,Approved
TX-100080,CUST-10502,2026-03-31T00:15:13.658683,51.71,BestBuy,Retail,37.72818,-122.30331,0,0,0.091,Approved
TX-100081,CUST-10724,2026-04-05T13:30:57.658683,26.41,AMC,Entertainment,37.63663,-122.39061,1,0,0.0912,Approved
TX-100082,CUST-10576,2026-05-16T14:55:36.658683,22.92,Subway,Food,37.68754,-122.44827,1,0,0.0198,Approved
TX-100083,CUST-10966,2026-05-08T05:17:17.658683,24.36,Dominos,Food,37.73527,-122.31414,1,0,0.0389,Approved
TX-100084,CUST-10509,2026-06-09T19:32:05.658683,11.31,ATM Cash Out,Financial,37.6925,-122.45074,0,0,0.0188,Approved
TX-100085,CUST-10091,2026-06-07T13:57:40.658683,11.83,HomeDepot,Retail,37.70701,-122.27375,1,0,0.0534,Approved
TX-100086,CUST-10048,2026-04-14T05:58:11.658683,34.7,Coinbase,Financial,37.80415,-122.45976,0,0,0.0684,Approved
TX-100087,CUST-10444,2026-06-17T10:10:08.658683,27.37,AMC,Entertainment,37.65061,-122.31616,1,0,0.0911,Approved
TX-100088,CUST-10101,2026-06-21T14:40:53.658683,347.64,Uber,Travel,37.6907,-122.38418,0,0,0.0571,Approved
TX-100089,CUST-10627,2026-04-15T23:25:31.658683,17.98,BestBuy,Retail,37.71139,-122.43566,1,0,0.066,Approved
TX-100090,CUST-10937,2026-05-03T19:54:38.658683,58.95,PG&E,Utilities,37.71648,-122.52451,0,0,0.0142,Approved
TX-100091,CUST-10252,2026-06-20T14:25:17.658683,17.39,UberEats,Food,37.91792,-122.43584,1,0,0.094,Approved
TX-100092,CUST-10669,2026-05-05T16:51:14.658683,37.76,Steam,Entertainment,37.86607,-122.37787,1,0,0.0278,Approved
TX-100093,CUST-10922,2026-04-20T13:51:55.658683,22.6,BestBuy,Retail,37.8529,-122.34969,1,0,0.0449,Approved
TX-100094,CUST-10678,2026-05-27T21:02:59.658683,26.48,Starbucks,Food,37.85703,-122.35864,1,0,0.0167,Approved
TX-100095,CUST-10757,2026-04-23T14:59:20.658683,19.02,BestBuy,Retail,37.90366,-122.31638,1,0,0.0119,Approved
TX-100096,CUST-10842,2026-04-04T08:54:28.658683,249.11,PG&E,Utilities,37.68503,-122.56418,0,0,0.0469,Approved
TX-100097,CUST-10111,2026-06-15T20:35:33.658683,15.95,Amazon,Retail,37.81805,-122.40753,1,0,0.0436,Approved
TX-100098,CUST-10379,2026-05-08T21:19:52.658683,483.4,Uber,Travel,37.66629,-122.33146,0,0,0.0189,Approved
TX-100099,CUST-10215,2026-05-21T04:44:39.658683,2690.87,ATM Cash Out,Financial,37.71325,-122.39754,1,1,0.9402,Declined
TX-100100,CUST-10057,2026-04-24T07:17:50.658683,2.8,Walmart,Retail,37.65435,-122.504,1,0,0.0721,Approved
TX-100101,CUST-10025,2026-06-16T20:39:27.658683,78.67,Comcast,Utilities,37.80079,-122.5227,0,0,0.0964,Approved
TX-100102,CUST-10058,2026-05-05T18:32:01.658683,11.43,Amazon,Retail,37.76993,-122.35422,1,0,0.0322,Approved
TX-100103,CUST-10039,2026-06-01T09:54:51.658683,19.76,Amazon,Retail,37.75345,-122.2854,1,0,0.0769,Approved
TX-100104,CUST-10122,2026-05-20T16:42:52.658683,145.29,Comcast,Utilities,37.87143,-122.46176,0,0,0.0571,Approved
TX-100105,CUST-10395,2026-05-03T12:34:25.658683,9.17,HomeDepot,Retail,37.67905,-122.4854,1,0,0.0345,Approved
TX-100106,CUST-10651,2026-05-10T01:45:28.658683,418.55,Uber,Travel,37.68227,-122.5135,0,0,0.1674,Approved
TX-100107,CUST-10990,2026-06-20T14:24:15.658683,37.22,Target,Retail,37.69511,-122.47977,1,0,0.0043,Approved
TX-100108,CUST-10420,2026-06-17T15:54:28.658683,8.5,AMC,Entertainment,37.71821,-122.36122,1,0,0.0353,Approved
TX-100109,CUST-10964,2026-05-10T16:34:25.658683,281.78,Marriott,Travel,37.74814,-122.5172,0,0,0.0326,Approved
TX-100110,CUST-10408,2026-04-15T23:09:28.658683,10.55,HomeDepot,Retail,37.77802,-122.30791,1,0,0.0729,Approved
TX-100111,CUST-10802,2026-05-19T04:45:09.658683,20.71,Dominos,Food,37.80409,-122.41318,1,0,0.197,Approved
TX-100112,CUST-10555,2026-06-22T19:23:20.658683,13.69,UberEats,Food,37.68496,-122.45434,1,0,0.0552,Approved
TX-100113,CUST-10160,2026-05-07T21:28:13.658683,31.68,Subway,Food,37.91485,-122.4637,1,0,0.0273,Approved
TX-100114,CUST-10763,2026-05-28T05:32:03.658683,23.74,McDonalds,Food,37.8688,-122.2814,1,0,0.0868,Approved
TX-100115,CUST-10133,2026-04-26T16:10:28.658683,53.29,Ticketmaster,Entertainment,37.73879,-122.30479,1,0,0.0628,Approved
TX-100116,CUST-10036,2026-04-04T07:09:11.658683,630.96,Marriott,Travel,85.77205,-68.00518,1,1,1.0,Flagged
TX-100117,CUST-10980,2026-05-01T05:03:09.658683,7.16,Amazon,Retail,37.70936,-122.39584,1,0,0.0339,Approved
TX-100118,CUST-10179,2026-06-12T20:55:09.658683,57.77,Amazon,Retail,37.68041,-122.36064,0,0,0.0532,Approved
TX-100119,CUST-10633,2026-05-19T14:20:34.658683,524.0,Expedia,Travel,37.65315,-122.34133,0,0,0.3249,Approved
TX-100120,CUST-10116,2026-06-23T05:53:43.658683,20.17,McDonalds,Food,37.82473,-122.47357,1,0,0.017,Approved
TX-100121,CUST-10020,2026-05-08T18:47:51.658683,42.86,UberEats,Food,37.79749,-122.27018,1,0,0.0567,Approved
TX-100122,CUST-10906,2026-06-21T01:00:51.658683,11.57,Amazon,Retail,37.85202,-122.48131,1,0,0.2417,Approved
TX-100123,CUST-10113,2026-05-27T13:11:14.658683,4.91,Venmo,Financial,37.92869,-122.41295,0,0,0.0083,Approved
TX-100124,CUST-10617,2026-03-28T12:31:12.658683,8.47,Coinbase,Financial,37.77317,-122.37037,0,0,0.0365,Approved
TX-100125,CUST-10258,2026-05-16T12:02:04.658683,15.93,Target,Retail,37.64641,-122.46485,1,0,0.0649,Approved
TX-100126,CUST-10717,2026-05-08T00:11:13.658683,44.6,BestBuy,Retail,37.94331,-122.35409,1,0,0.0659,Approved
TX-100127,CUST-10340,2026-06-19T15:20:29.658683,20.23,McDonalds,Food,37.911,-122.40967,1,0,0.0905,Approved
TX-100128,CUST-10389,2026-06-02T15:08:00.658683,2.17,Target,Retail,37.73368,-122.32661,1,0,0.0425,Approved
TX-100129,CUST-10724,2026-06-04T19:00:19.658683,19.87,Target,Retail,37.64426,-122.41347,1,0,0.045,Approved
TX-100130,CUST-10687,2026-06-18T14:43:58.658683,15.51,Target,Retail,37.69674,-122.50255,1,0,0.0107,Approved
TX-100131,CUST-10076,2026-04-10T22:12:05.658683,8.28,Amazon,Retail,37.81414,-122.36298,1,0,0.0723,Approved
TX-100132,CUST-10754,2026-04-02T19:20:41.658683,142.15,WasteManagement,Utilities,37.79881,-122.42125,0,0,0.0873,Approved
TX-100133,CUST-10804,2026-04-07T19:34:16.658683,12.42,Subway,Food,37.72992,-122.32878,1,0,0.0718,Approved
TX-100134,CUST-10093,2026-04-16T09:11:13.658683,73.58,Walmart,Retail,37.7911,-122.50441,1,0,0.0476,Approved
TX-100135,CUST-10202,2026-05-24T18:09:36.658683,11.76,Ticketmaster,Entertainment,37.74518,-122.5048,1,0,0.0592,Approved
TX-100136,CUST-10881,2026-05-15T06:05:54.658683,1116.56,Chase Transfer,Financial,37.79991,-122.46632,1,1,0.7,Declined
TX-100137,CUST-10077,2026-06-08T09:36:56.658683,32.35,Target,Retail,37.7055,-122.33904,1,0,0.0602,Approved
TX-100138,CUST-10518,2026-05-07T09:12:44.658683,40.62,McDonalds,Food,37.68086,-122.53259,1,0,0.0684,Approved
TX-100139,CUST-10288,2026-04-01T22:55:30.658683,91.19,Netflix,Entertainment,37.62146,-122.43382,1,0,0.062,Approved
TX-100140,CUST-10837,2026-03-28T03:18:02.658683,485.69,Marriott,Travel,37.89466,-122.44559,0,0,0.2414,Approved
TX-100141,CUST-10714,2026-05-21T05:40:33.658683,24.22,Starbucks,Food,37.77876,-122.32487,0,0,0.05,Approved
TX-100142,CUST-10781,2026-06-07T07:14:43.658683,276.45,Expedia,Travel,37.92732,-122.4418,0,0,0.0465,Approved
TX-100143,CUST-10472,2026-05-10T23:39:46.658683,10.95,BestBuy,Retail,37.62757,-122.26079,1,0,0.0386,Approved
TX-100144,CUST-10972,2026-06-11T12:07:56.658683,10.38,Walmart,Retail,37.83695,-122.47422,0,0,0.0014,Approved
TX-100145,CUST-10810,2026-04-10T15:17:12.658683,128.26,PG&E,Utilities,37.73863,-122.54838,0,0,0.015,Approved
TX-100146,CUST-10345,2026-05-04T01:18:27.658683,25.51,BestBuy,Retail,37.71514,-122.3218,0,0,0.169,Approved
TX-100147,CUST-10621,2026-05-08T05:12:54.658683,19.46,Ticketmaster,Entertainment,37.74484,-122.51362,1,0,0.006,Approved
TX-100148,CUST-10984,2026-06-03T12:29:47.658683,3.32,Target,Retail,37.90662,-122.41052,1,0,0.0804,Approved
TX-100149,CUST-10426,2026-05-27T06:51:46.658683,314.5,Airbnb,Travel,37.8762,-122.33451,0,0,0.0122,Approved
TX-100150,CUST-10132,2026-06-05T08:08:48.658683,23.94,UberEats,Food,37.70282,-122.26691,1,0,0.0018,Approved
TX-100151,CUST-10378,2026-04-27T15:26:37.658683,416.94,Uber,Travel,37.78235,-122.49564,0,0,0.0902,Approved
TX-100152,CUST-10487,2026-04-29T01:21:47.658683,5.91,AMC,Entertainment,37.67156,-122.46957,1,0,0.1627,Approved
TX-100153,CUST-10329,2026-06-23T11:00:44.658683,18.81,AMC,Entertainment,37.79411,-122.52719,1,0,0.082,Approved
TX-100154,CUST-10500,2026-04-26T09:45:21.658683,8.25,Starbucks,Food,37.82832,-122.477,1,0,0.0491,Approved
TX-100155,CUST-10617,2026-04-02T11:17:19.658683,105.24,Verizon,Utilities,37.78066,-122.37839,0,0,0.0143,Approved
TX-100156,CUST-10868,2026-04-19T21:55:38.658683,29.88,Ticketmaster,Entertainment,37.7202,-122.5695,1,0,0.0621,Approved
TX-100157,CUST-10575,2026-04-27T01:04:41.658683,37.85,Target,Retail,37.91943,-122.42322,1,0,0.2311,Approved
TX-100158,CUST-10192,2026-05-24T17:16:58.658683,8.78,Brokerage,Financial,37.85051,-122.41124,0,0,0.0195,Approved
TX-100159,CUST-10818,2026-06-11T17:49:38.658683,13.17,McDonalds,Food,37.70161,-122.40031,1,0,0.0296,Approved
TX-100160,CUST-10029,2026-04-03T14:44:52.658683,20.28,Dominos,Food,37.84848,-122.31843,1,0,0.0157,Approved
TX-100161,CUST-10454,2026-04-22T12:45:48.658683,27.01,Netflix,Entertainment,37.86685,-122.49412,1,0,0.0285,Approved
TX-100162,CUST-10600,2026-04-08T00:05:01.658683,27.1,Amazon,Retail,37.90638,-122.44911,1,0,0.0832,Approved
TX-100163,CUST-10384,2026-05-28T17:23:42.658683,30.74,Dominos,Food,37.71783,-122.34987,1,0,0.0324,Approved
TX-100164,CUST-10774,2026-04-01T09:30:08.658683,10.6,Subway,Food,37.71202,-122.36528,1,0,0.0102,Approved
TX-100165,CUST-10167,2026-04-04T21:23:20.658683,132.53,PG&E,Utilities,37.74764,-122.49318,0,0,0.0751,Approved
TX-100166,CUST-10504,2026-05-16T21:55:57.658683,374.05,Delta Air Lines,Travel,37.83616,-122.26821,0,0,0.0089,Approved
TX-100167,CUST-10212,2026-06-09T00:42:36.658683,422.38,Delta Air Lines,Travel,37.89096,-122.28208,0,0,0.0558,Approved
TX-100168,CUST-10053,2026-05-12T10:46:37.658683,39.82,McDonalds,Food,37.70489,-122.37088,1,0,0.0501,Approved
TX-100169,CUST-10330,2026-03-28T20:12:36.658683,24.34,BestBuy,Retail,37.86072,-122.37132,1,0,0.0415,Approved
TX-100170,CUST-10069,2026-03-30T11:14:24.658683,30.3,HomeDepot,Retail,37.85141,-122.26708,1,0,0.0582,Approved
TX-100171,CUST-10376,2026-05-04T12:50:27.658683,16.26,McDonalds,Food,37.6564,-122.39914,1,0,0.0556,Approved
TX-100172,CUST-10523,2026-06-08T04:41:16.658683,19.94,Walmart,Retail,37.66615,-122.4288,1,0,0.1619,Approved
TX-100173,CUST-10292,2026-05-24T13:17:24.658683,202.3,Marriott,Travel,37.88714,-122.29151,0,0,0.0113,Approved
TX-100174,CUST-10396,2026-04-15T09:42:26.658683,187.95,PG&E,Utilities,37.6862,-122.32975,0,0,0.0214,Approved
TX-100175,CUST-10607,2026-05-11T00:01:34.658683,226.88,Verizon,Utilities,37.77429,-122.47382,0,0,0.0252,Approved
TX-100176,CUST-10523,2026-04-16T23:38:40.658683,31.36,Amazon,Retail,37.66132,-122.40134,0,0,0.0389,Approved
TX-100177,CUST-10335,2026-05-24T09:40:01.658683,398.37,Marriott,Travel,37.66508,-122.49471,0,0,0.0795,Approved
TX-100178,CUST-10683,2026-04-03T12:20:05.658683,173.86,PG&E,Utilities,37.8446,-122.479,0,0,0.0857,Approved
TX-100179,CUST-10969,2026-04-25T10:25:22.658683,5.7,Amazon,Retail,37.94011,-122.37108,1,0,0.0368,Approved
TX-100180,CUST-10661,2026-06-06T23:58:07.658683,12.43,BestBuy,Retail,37.70917,-122.31361,1,0,0.077,Approved
TX-100181,CUST-10920,2026-04-21T11:32:10.658683,5.01,Walmart,Retail,37.829,-122.28005,0,0,0.012,Approved
TX-100182,CUST-10651,2026-06-20T10:34:00.658683,66.65,Netflix,Entertainment,37.68692,-122.51871,1,0,0.0086,Approved
TX-100183,CUST-10240,2026-06-02T10:37:07.658683,339.86,Expedia,Travel,37.61929,-122.31217,0,0,0.0731,Approved
TX-100184,CUST-10156,2026-05-31T19:14:25.658683,9.46,BestBuy,Retail,37.9171,-122.4854,1,0,0.0175,Approved
TX-100185,CUST-10013,2026-05-29T17:21:12.658683,24.17,Starbucks,Food,37.63379,-122.55792,1,0,0.0802,Approved
TX-100186,CUST-10024,2026-04-18T18:30:28.658683,27.53,McDonalds,Food,37.72773,-122.58658,0,0,0.0857,Approved
TX-100187,CUST-10572,2026-06-11T20:45:01.658683,22.25,Coinbase,Financial,37.66661,-122.51096,0,0,0.0364,Approved
TX-100188,CUST-10612,2026-05-18T20:19:46.658683,20.86,BestBuy,Retail,37.6702,-122.52415,1,0,0.0146,Approved
TX-100189,CUST-10752,2026-04-12T20:42:13.658683,10.91,Dominos,Food,37.86227,-122.31631,1,0,0.0673,Approved
TX-100190,CUST-10910,2026-05-05T13:38:38.658683,542.39,Expedia,Travel,37.64726,-122.39704,0,0,0.3333,Approved
TX-100191,CUST-10367,2026-06-08T03:35:49.658683,41.73,Dominos,Food,37.73453,-122.37976,1,0,0.2483,Approved
TX-100192,CUST-10148,2026-05-27T09:37:58.658683,37.65,Subway,Food,37.7874,-122.40038,1,0,0.0206,Approved
TX-100193,CUST-10709,2026-06-20T11:34:28.658683,27.07,BestBuy,Retail,37.68914,-122.38929,1,0,0.0004,Approved
TX-100194,CUST-10956,2026-06-06T18:59:35.658683,34.27,McDonalds,Food,37.74045,-122.5791,1,0,0.0797,Approved
TX-100195,CUST-10561,2026-05-29T18:00:36.658683,131.6,WasteManagement,Utilities,37.81894,-122.4379,0,0,0.0752,Approved
TX-100196,CUST-10108,2026-04-11T02:09:04.658683,34.36,BestBuy,Retail,37.69767,-122.37226,0,0,0.2294,Approved
TX-100197,CUST-10516,2026-04-09T23:42:50.658683,58.85,Ticketmaster,Entertainment,37.65575,-122.519,1,0,0.0756,Approved
TX-100198,CUST-10310,2026-05-27T22:34:05.658683,56.22,WasteManagement,Utilities,37.87279,-122.52726,0,0,0.0121,Approved
TX-100199,CUST-10190,2026-04-02T11:30:48.658683,121.5,Comcast,Utilities,37.82235,-122.47519,0,0,0.0403,Approved
TX-100200,CUST-10714,2026-05-03T14:51:28.658683,30.41,UberEats,Food,37.7855,-122.31778,1,0,0.0593,Approved
TX-100201,CUST-10695,2026-05-14T12:24:48.658683,530.59,Delta Air Lines,Travel,37.69654,-122.35945,0,0,0.3384,Approved
TX-100202,CUST-10551,2026-06-01T19:52:29.658683,6.41,Ticketmaster,Entertainment,37.65057,-122.32961,1,0,0.0685,Approved
TX-100203,CUST-10027,2026-06-08T16:03:16.658683,59.21,BestBuy,Retail,37.84762,-122.48642,1,0,0.0724,Approved
TX-100204,CUST-10732,2026-05-10T02:50:12.658683,17.91,Starbucks,Food,37.68858,-122.51376,1,0,0.2053,Approved
TX-100205,CUST-10720,2026-05-25T13:24:21.658683,222.54,PG&E,Utilities,37.69727,-122.33786,0,0,0.0781,Approved
TX-100206,CUST-10957,2026-05-14T17:15:18.658683,26.43,Starbucks,Food,37.64662,-122.471,1,0,0.0724,Approved
TX-100207,CUST-10259,2026-05-13T15:41:05.658683,29.04,Subway,Food,37.69029,-122.50027,1,0,0.0427,Approved
